HS Code,Description
847759,Machinery for moulding or otherwise forming products from rubber or plastics (excl. injection-moulding machines extruders blow-moulding machines vacuum-moulding and other thermoforming machines; machinery for moulding or retreading pneumatic tyres or for moulding or otherwise forming inner tubes)
847780,Machinery for working rubber or plastics or for the manufacture of products from these materials not specified or included elsewhere in this chapter
847790,Parts of machinery for working rubber or plastics or for the manufacture of products from these materials n.e.s.
847930,Presses for the manufacture of particle board or fibre building board of wood or other ligneous materials and other machinery for treating wood or cork (excl. dryers spray guns and the like and machine tools)
847989,Machines and mechanical appliances n.e.s.
847990,Parts of machines and mechanical appliances n.e.s.
848030,Moulding patterns (excl. moulds of graphite or other carbons and ceramic or glass moulds)
848110,Pressure-reducing valves
848120,Valves for oleohydraulic or pneumatic transmission
848130,"Check ""non-return"" valves for pipes boiler shells tanks vats or the like"
848140,Safety or relief valves
848180,"Appliances for pipes boiler shells tanks vats or the like (excl. pressure-reducing valves valves for the control of pneumatic power transmission check ""non-return"" valves and safety or relief valves)"
848210,Ball bearings
848291,Balls needles and rollers for bearings (excl. steel balls of heading 7326)
848310,Transmission shafts incl. cam shafts and crank shafts and cranks
848330,Bearing housings for machinery not incorporating ball or roller bearings; plain shaft bearings for machinery
848340,Gears and gearing for machinery (excl. toothed wheels chain sprockets and other transmission elements presented separately); ball or roller screws; gear boxes and other speed changers incl. torque converters
848350,Flywheels and pulleys incl. pulley blocks
848360,Clutches and shaft couplings incl. universal joints for machinery
848390,Toothed wheels chain sprockets and other transmission elements presented separately; parts of transmission shafts ball screws couplings and other articles of heading 8483 n.e.s.
848710,Ships' or boats' propellers and blades therefor
848790,Parts of machinery of chapter 84 not intended for a specific purpose n.e.s.
8501,Electric motors and generators (excl. generating sets)
8502,Electric generating sets and rotary converters
8504,Electrical transformers static converters e.g. rectifiers and inductors; parts thereof
8505,Electromagnets (excl. magnets for medical use); permanent magnets and articles intended to become permanent magnets after magnetization; electromagnetic or permanent magnet chucks clamps and similar holding devices; electromagnetic couplings clutches and brakes; electromagnetic lifting heads; parts thereof
8506,Primary cells and primary batteries electrical; parts thereof (excl. spent)
8507,Electric accumulators incl. separators therefor whether or not square or rectangular; parts thereof (excl. spent and those of unhardened rubber or textiles)
8508,Vacuum cleaners incl. dry cleaners and wet vacuum cleaners
8509,Electromechanical domestic appliances with self-contained electric motor; parts thereof (excl. vacuum cleaners dry and wet vacuum cleaners)
8510,Electric shavers hair clippers and hair-removing appliances with self-contained electric motor; parts thereof
8511,Electrical ignition or starting equipment of a kind used for spark-ignition or compression-ignition internal combustion engines e.g. ignition magnetos magneto-dynamos ignition coils sparking plugs glow plugs and starter motors; generators e.g. dynamos and alternators and cut-outs of a kind used in conjunction with such engines; parts thereof
8512,Electrical lighting or signalling equipment (excl. lamps of heading 8539) windscreen wipers defrosters and demisters of a kind used for cycles or motor vehicles; parts thereof
8513,Portable electric lamps designed to function by their own source of energy e.g. dry batteries accumulators and magnetos; parts thereof (excl. lighting equipment of heading 8512)
8514,Industrial or laboratory electric furnaces and ovens incl. those functioning by induction or dielectric loss; other industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss; parts thereof
8515,Electric incl. electrically heated gas laser or other light or photon beam ultrasonic electron beam magnetic pulse or plasma arc soldering brazing or welding machines and apparatus whether or not capable of cutting; electric machines and apparatus for hot spraying of metals metal carbides or cermets; parts thereof (excl. guns for spraying hot materials of heading 8424)
8516,Electric instantaneous or storage water heaters and immersion heaters; electric space-heating apparatus and soil-heating apparatus; electro-thermic hairdressing apparatus e.g. hairdryers hair curlers and curling tong heaters and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors (other than those of heading 8545); parts thereof
8517,Telephone sets incl. telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice images or other data incl. apparatus for communication in a wired or wireless network [such as a local or wide area network]; parts thereof (excl. than transmission or reception apparatus of heading 8443 8525 8527 or 8528)
8519,Sound recording or sound reproducing apparatus
8521,Video recording or reproducing apparatus whether or not incorporating a video tuner (excl. video camera recorders)
8523,"Discs tapes solid-state non-volatile storage devices ""smart cards"" and other media for the recording of sound or of other phenomena whether or not recorded incl. matrices and masters for the production of discs (excl. products of chapter 37)"
8525,Transmission apparatus for radio-broadcasting or television whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras digital cameras and video camera recorders
8526,Radar apparatus radio navigational aid apparatus and radio remote control apparatus
8527,Reception apparatus for radio-broadcasting whether or not combined in the same housing with sound recording or reproducing apparatus or a clock
8528,Monitors and projectors not incorporating television reception apparatus; reception apparatus for television whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus
8529,Parts suitable for use solely or principally with transmission and reception apparatus for radio-telephony radio-telegraphy radio-broadcasting television television cameras still image video cameras and other video camera recorders radar apparatus radio navigational aid apparatus or radio remote control apparatus n.e.s.
8531,Electric sound or visual signalling apparatus e.g. bells sirens indicator panels burglar or fire alarms (excl. those for cycles motor vehicles and traffic signalling); parts thereof
8533,Electrical resistors incl. rheostats and potentiometers (excl. heating resistors); parts thereof
8535,Electrical apparatus for switching or protecting electrical circuits or for making connections to or in electrical circuits e.g. switches fuses lightning arresters voltage limiters surge suppressors plugs and other connectors junction boxes for a voltage > 1.000 V (excl. control desks cabinets panels etc. of heading 8537)
8536,Electrical apparatus for switching or protecting electrical circuits or for making connections to or in electrical circuits e.g. switches relays fuses surge suppressors plugs sockets lamp holders and junction boxes for a voltage <= 1.000 V (excl. control desks cabinets panels etc. of heading 8537)
8537,Boards panels consoles desks cabinets and other bases equipped with two or more apparatus of heading 8535 or 8536 for electric control or the distribution of electricity incl. those incorporating instruments or apparatus of chapter 90 and numerical control apparatus (excl. switching apparatus for line telephony or line telegraphy)
8538,Parts suitable for use solely or principally with the apparatus of heading 8535 8536 or 8537 n.e.s.
8539,"Electric filament or discharge lamps incl. sealed beam lamp units and ultraviolet or infra-red lamps; arc lamps; light-emitting diode ""LED"" lamps; parts thereof"
8540,Thermionic cold cathode or photo-cathode valves and tubes e.g. vacuum or vapour or gas filled valves and tubes mercury arc rectifying valves and tubes cathode ray tubes and television camera tubes; parts thereof
8541,"Diodes transistors and similar semiconductor devices; photosensitive semiconductor devices incl. photovoltaic cells whether or not assembled in modules or made up into panels (excl. photovotaic generators); light emitting diodes ""LED""; mounted piezoelectric crystals; parts thereof"
8542,Electronic integrated circuits; parts thereof
8543,Electrical machines and apparatus having individual functions n.e.s. in chapter 85 and parts thereof
8544,"Insulated ""incl. enamelled or anodised"" wire cable ""incl. coaxial cable"" and other insulated electric conductors whether or not fitted with connectors; optical fibre cables made up of individually sheathed fibres whether or not assembled with electric conductors or fitted with connectors"
8545,Carbon electrodes carbon brushes lamp carbons battery carbons and other articles of graphite or other carbon with or without metal of a kind used for electrical purposes
8546,Electrical insulators of any material (excl. insulating fittings)
8548,Waste and scrap of primary cells primary batteries and electric accumulators; spent primary cells spent primary batteries and spent electric accumulators; electrical parts of machinery or apparatus not specified or included elsewhere in chapter 85
850110,Motors of an output <= 375 W ...
85011010,Synchronous motors of an output <= 18 W ...
85011091,Universal AC-DC motors of an output <= 375 W ...
85011093,AC motors of an output <= 375 W (excl. synchronous motors of an output <= 18 W) ...
85011099,DC motors of an output <= 375 W ...
85012000,Universal AC-DC motors of an output > 375 W
85013100,DC motors of an output > 375 W but <= 750 W and DC generators of an output <= 750 W ...
85013200,DC motors and DC generators of an output > 750 W but <= 75 kW ...
85013300,DC motors and DC generators of an output > 75 kW but <= 375 kW ...
85013400,DC motors and DC generators of an output > 375 kW
850140,AC motors single-phase of an output > 375 W
85014020,AC motors single phase of an output of > 375 W but <= 750 W ...
85014080,AC motors single phase of an output of > 750 W
85015100,AC motors multi-phase of an output > 375 W but <= 750 W ...
850152,AC motors multi-phase of an output > 750 W but <= 75 kW ...
85015220,AC motors multi-phase of an output > 750 W but <= 75 kW ...
85015230,AC motors multi-phase of an output > 75 kW but <= 37 kW ...
85015290,AC motors multi-phase of an output > 37 kW but <= 75 kW ...
850153,AC motors multi-phase of an output > 75 kW
85015350,AC traction motors multi-phase of an output > 75 kW
85015381,AC motors multi-phase of an output of > 75 kW but <= 375 kW (excl. traction motors) ...
85015394,AC motors multi-phase of an output of > 375 kW but <= 750 kW (excl. traction motors) ...
85015399,AC motors multi-phase of an output > 750 kW (excl. traction motors)
850161,"AC generators ""alternators"" of an output <= 75 kVA ..."
85016120,"AC generators ""alternators"" of an output <= 75 kVA ..."
85016180,"AC generators ""alternators"" of an output > 75 kVA but <= 75 kVA ..."
85016200,"AC generators ""alternators"" of an output > 75 kVA but <= 375 kVA ..."
85016300,"AC generators ""alternators"" of an output > 375 kVA but <= 750 kVA ..."
85016400,"AC generators ""alternators"" of an output > 750 kVA"
850211,"Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output <= 75 kVA ..."
85021120,"Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output <= 75 kVA ..."
85021180,"Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 75 kVA but <= 75 kVA ..."
85021200,"Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 75 kVA but <= 375 kVA ..."
850213,"Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 375 kVA"
85021320,"Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 375 kVA but <= 750 kVA ..."
85021340,"Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 750 kVA but <= 2.000 kVA ..."
85021380,"Generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 2.000 kVA"
850220,Generating sets with spark-ignition internal combustion piston engine
85022020,Generating sets with spark-ignition internal combustion piston engine of an output <= 75 kVA ...
85022040,Generating sets with spark-ignition internal combustion piston engine of an output > 75 kVA but <= 375 kVA ...
85022060,Generating sets with spark-ignition internal combustion piston engine of an output > 375 kVA but <= 750 kVA ...
85022080,Generating sets with spark-ignition internal combustion piston engine of an output > 750 kVA
85023100,Generating sets wind-powered
850239,Generating sets (excl. wind-powered and powered by spark-ignition internal combustion piston engine)
85023920,Turbogenerators
85023980,Generating sets non-wind-powered and non-powered by spark-ignition internal combustion piston engine (excl. turbogenerators)
85024000,Electric rotary converters
850300,Parts suitable for use solely or principally with electric motors and generators electric generating sets and rotary converters n.e.s.
85030010,Non-magnetic retaining rings for electric motors and electric generating sets
85030091,Parts suitable for use solely or principally with electric motors and generators electric generating sets and rotary converters n.e.s. of cast iron or cast steel
85030099,Parts suitable for use solely or principally with electric motors and generators electric generating sets and rotary converters n.e.s. (excl. non-magnetic retaining rings and of cast iron or cast steel)
850410,Ballasts for discharge lamps or tubes
85041020,Inductors whether or not connected with a capacitor
85041080,Ballasts for discharge lamps or tubes (excl. inductors whether or not connected with a capacitor)
85042100,Liquid dielectric transformers having a power handling capacity <= 650 kVA ...
850422,Liquid dielectric transformers having a power handling capacity > 650 kVA but <= 10.000 kVA ...
85042210,Liquid dielectric transformers having a power handling capacity > 650 kVA but <= 1.600 kVA ...
85042290,Liquid dielectric transformers having a power handling capacity > 1.600 kVA but <= 10.000 kVA ...
85042300,Liquid dielectric transformers having a power handling capacity > 10.000 kVA
850431,Transformers having a power handling capacity <= 1 kVA (excl. liquid dielectric transformers) ...
85043121,Measuring transformers for voltage measurement having a power handling capacity <= 1 kVA ...
85043129,Measuring transformers having a power handling capacity <= 1 kVA (other than for voltage measurement) ...
85043180,Transformers having a power handling capacity <= 1 kVA (excl. liquid dielectric transformers) ...
85043200,Transformers having a power handling capacity > 1 kVA but <= 16 kVA (excl. liquid dielectric transformers) ...
85043300,Transformers having a power handling capacity > 16 kVA but <= 500 kVA (excl. liquid dielectric transformers) ...
85043400,Transformers having a power handling capacity > 500 kVA (excl. liquid dielectric transformers)
850440,Static converters
85044030,Static converters of a kind used with telecommunication apparatus automatic data-processing machines and units thereof
85044055,Accumulator chargers (excl. of a kind used with telecommunication apparatus automatic data-processing machines and units thereof and polycrystalline semiconductor rectifiers)
85044082,Rectifiers (excl. of a kind used with telecommunication apparatus automatic data-processing machines and units thereof)
85044084,Inverters having power handling capacity <= 75 kVA (excl. of a kind used with telecommunication apparatus automatic data-processing machines and units thereof) ...
85044088,Inverters having power handling capacity > 75 kVA (excl. of a kind used with telecommunication apparatus automatic data-processing machines and units thereof)
85044090,Static converters (excl. of a kind used with telecommunication apparatus automatic data-processing machines and units thereof battery chargers polycrystalline semiconductor and other rectifiers and a.c. converters)
85045000,Inductors (excl. inductors for discharge lamps or tubes)
850490,Parts of electrical transformers and inductors n.e.s.
85049011,Ferrite cores for transformers and inductors
85049013,Steel laminations and cores whether or not stacked or wound for transformers and inductors
85049017,Parts of transformers and inductors n.e.s. (excl. ferrite cores and steel laminations and cores)
85049090,Parts of static converters n.e.s.
85051100,Permanent magnets of metal and articles intended to become permanent magnets after magnetization (excl. chucks clamps and similar holding devices)
850519,Permanent magnets and articles intended to become permanent magnets after magnetization of materials other than metal
85051910,Permanent magnets of agglomerated ferrite
85051990,Permanent magnets and articles intended to become permanent magnets after magnetization of materials other than metal or agglomerated ferrite
85052000,Electromagnetic couplings clutches and brakes
850590,Electromagnets and electromagnetic lifting heads and their parts (excl. magnets for medical use); electromagnetic or permanent magnet chucks clamps and similar holding devices and their parts n.e.s.
85059021,Electromagnets of a kind used solely or principally for magnetic resonance imaging apparatus other than electromagnets of heading 9018
85059029,Electromagnets; electromagnetic or permanent magnet chucks clamps and similar holding devices (excl. electromagnets used for magnetic resonance imaging apparatus)
85059050,Electromagnetic lifting heads
85059090,Parts of permanent magnets electromagnets electromagnetic clutches couplings brakes and lifting heads electromagnetic or permanent magnet holding devices n.e.s.
850610,Manganese dioxide cells and batteries (excl. spent)
85061011,Manganese dioxide cells and batteries alkaline in the form of cylindrical cells (excl. spent)
85061018,Manganese dioxide cells and batteries alkaline (excl. spent and cylindrical cells)
85061091,Manganese dioxide cells and batteries non-alkaline in the form of cylindrical cells (excl. spent)
85061098,Manganese dioxide cells and batteries non-alkaline (excl. spent and cylindrical cells)
85063000,Mercuric oxide cells and batteries (excl. spent)
85064000,Silver oxide cells and batteries (excl. spent)
850650,Lithium cells and batteries (excl. spent)
85065010,Lithium cells and batteries in the form of cylindrical cells (excl. spent)
85065030,Lithium cells and batteries in the form of button cells (excl. spent)
85065090,Lithium cells and batteries (excl. spent and in the form of cylindrical or button cells)
85066000,Air-zinc cells and batteries (excl. spent)
850680,Primary cells and primary batteries electric (excl. spent and those of silver oxide mercuric oxide manganese dioxide lithium and air-zinc)
85068005,Dry zinc-carbon batteries of a voltage of >= 55 V but <= 65 V (excl. spent) ...
85068080,Primary cells and primary batteries electric (excl. spent dry zinc-carbon batteries of a voltage of >= 55 V but <= 65 V and those of manganese dioxide mercuric oxide silver oxide lithium and air-zinc) ...
85069000,Parts of primary cells and primary batteries n.e.s.
850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)"
85071020,Lead-acid accumulators of a kind used for starting piston engines (starter batteries) working with liquid electrolyte (excl. spent)
85071080,Lead-acid accumulators of a kind used for starting piston engines (starter batteries) working with non-liquid electrolyte (excl. spent)
850720,Lead acid accumulators (excl. spent and starter batteries)
85072020,Lead-acid accumulators working with liquid electrolyte (excl. spent and starter batteries)
85072080,Lead-acid accumulators working with non-liquid electrolyte (excl. spent and starter batteries)
850730,Nickel-cadmium accumulators (excl. spent)
85073020,Hermetically sealed nickel-cadmium accumulators (excl. spent)
85073080,Nickel-cadmium accumulators not hermetically sealed (excl. spent)
85074000,Nickel-iron accumulators (excl. spent)
85075000,Nickel-metal hydride accumulators (excl. spent)
85076000,Lithium-ion accumulators (excl. spent)
85078000,Electric accumulators (excl. spent and lead-acid nickel-cadmium nickel-iron nickel-metal hydride and lithium-ion accumulators)
850790,Plates separators and other parts of electric accumulators n.e.s.
85079030,Separators for electric accumulators (excl. separators of vulcanised rubber other than hard rubber or of textiles)
85079080,Parts of electric accumulators (excl. separators)
85081100,Vacuum cleaners incl. dry cleaners and wet vacuum cleaners with self-contained electric motor power <= 1 500 W and having a dust bag or other receptacle capacity <= 20 l ...
85081900,Vacuum cleaners incl. dry cleaners and wet vacuum cleaners with self-contained electric motor ( excl. of a power <= 1 500 W and having a dust bag or other receptacle capacity <= 20 l) ...
85086000,Vacuum cleaners incl. dry cleaners and wet vacuum cleaners (excl. with self-contained electric motor)
85087000,Parts of vacuum cleaners dry cleaners and wet vacuum cleaners n.e.s.
85094000,Domestic food grinders and mixers and fruit or vegetable juice extractors with self-contained electric motor
85098000,Electromechanical domestic appliances with self-contained electric motor (excl. vacuum cleaners dry and wet vacuum cleaners food grinders and mixers fruit or vegetable juice extractors and hair-removing appliances)
85099000,Parts of electromechanical domestic appliances with self-contained electric motor n.e.s. (excl. of vacuum cleaners dry and wet vacuum cleaners)
85101000,Shavers electric
85102000,Hair clippers with self-contained electric motor
85103000,Hair-removing appliances with self-contained electric motor
85109000,Parts of electric shavers hair clippers and hair-removing appliances with self-contained electric motor n.e.s.
85111000,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion engines
85112000,Ignition magnetos magneto-dynamos and magnetic flywheels for spark-ignition or compression-ignition internal combustion engines
85113000,Distributors and ignition coils of a kind used for spark-ignition or compression-ignition internal combustion engines
85114000,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition internal combustion engines
85115000,Generators of a kind used for internal combustion engines (excl. magneto dynamos and dual purpose starter-generators)
85118000,Electrical ignition or starting equipment incl. cut-outs of a kind used for spark-ignition or compression-ignition internal combustion engines (excl. generators starter motors distributors ignition coils ignition magnetos magnetic flywheels and sparking plugs)
85119000,Parts of electrical ignition or starting equipment generators etc. of heading 8511 n.e.s.
85121000,Electric lighting or visual signalling equipment of a kind used for bicycles (other than lamps of heading 8539)
85122000,Electrical lighting or visual signalling equipment for motor vehicles (excl. lamps of heading 8539)
851230,Electrical sound signalling equipment for cycles or motor vehicles
85123010,Sound signalling burglar alarms electrical of a kind used for motor vehicles
85123090,Electrical sound signalling equipment for cycles or motor vehicles (excl. burglar alarms for motor vehicles)
85124000,Electrical windscreen wipers defrosters and demisters for motor vehicles
851290,Parts of electrical lighting or signalling equipment windscreen wipers defrosters and demisters of a kind used for cycles and motor vehicles n.e.s.
85129010,Parts of electrical burglar alarms of a kind used for motor vehicles n.e.s.
85129090,Parts of electrical lighting or signalling equipment windscreen wipers defrosters and demisters of a kind used for motor vehicles n.e.s. (excl. of burglar alarms for motor vehicles)
85131000,Portable electrical lamps designed to function by their own source of energy
85139000,Parts of portable electrical lamps designed to function by their own source of energy n.e.s.
851410,Resistance heated industrial or laboratory furnaces and ovens (excl. drying ovens)
85141010,Resistance heated bakery and biscuit ovens
85141080,Industrial and laboratory furnaces and ovens resistance heated (other than for the manufacture of semiconductor devices on semiconductor wafers)
851420,Furnaces and ovens functioning by induction or dielectric loss
85142010,Furnaces and ovens functioning by induction
85142080,Furnaces and ovens functioning by dielectric loss (other than for the manufacture of semiconductor devices on semiconductor wafers)
851430,Electric industrial or laboratory furnaces and ovens (excl. resistance heated induction dielectric and drying furnaces and ovens)
85143020,Furnaces and ovens of a kind used solely or principally for the manufacture of printed circuits or printed circuit assemblies
85143080,Electric industrial or laboratory furnaces and ovens (excl. resistance heated induction dielectric and drying furnaces and ovens and ones used for manufacturing printed circuits)
85144000,Equipment for the heat treatment of materials by induction or dielectric loss (excl. ovens and furnaces)
851490,Parts of electric industrial or laboratory furnaces and ovens incl. of those functioning by induction or dielectric loss and of industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss n.e.s. (other than for the manufacture of semiconductor devices on semiconductor wafers)
85149030,Parts of furnaces and ovens of 85143020 used in manufacturing printed circuits
85149070,Parts of electric industrial or laboratory furnaces and ovens incl. of those functioning by induction or dielectric loss and of industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss n.e.s.
85151100,Soldering irons and guns electric
851519,Brazing or soldering machines (excl. soldering irons and guns)
85151910,Wave soldering machines of a kind used solely or principally for the manufacture of printed circuit assemblies
85151990,Brazing or soldering machines (excl. soldering irons and guns and wave soldering machines used in manufacturing printed circuit assemblies)
85152100,Fully or partly automatic machines for resistance welding of metals
85152900,Machines for resistance welding of metals neither fully nor partly automatic
85153100,Fully or partly automatic machines for arc welding of metals incl. plasma arc welding
851539,Machines for arc welding of metals incl. plasma arc welding neither fully nor partly automatic
85153913,Machines for manual arc welding of metals with coated electrodes complete with welding or cutting devices and consigned with transformers
85153918,Machines and apparatus for manual arc welding of metals with coated electrodes complete with welding or cutting devices generators or rotary converters static converters rectifiers or rectifying apparatus
85153990,Machines for arc welding of metals incl. plasma arc welding neither fully nor partly automatic (excl. machines for manual welding with coated electrodes)
851580,Electric machines and apparatus for laser or other light or photon beam ultrasonic electron beam magnetic pulse or plasma arc welding; electric machines and apparatus for hot spraying of metals metal carbides or cermets (excl. metal spray guns specified elsewhere)
85158010,Electrical machines and apparatus for welding or hot spraying of metals (excl. for resistance arc or plasma arc welding and metal spray guns specified elsewhere)
85158090,Electrical machines and apparatus for welding thermoplastic materials (excl. wire bonders of a kind used for the manufacture of semiconductor devices)
851590,Parts of machines and apparatus for soldering or welding or for hot spraying of metals metal carbides or cermets n.e.s. (excl. wire bonders of a kind used for the manufacture of semiconductor devices)
85159020,Parts of wave soldering machines used in manufacturing printed circuit assemblies
85159080,Parts of machines and apparatus for soldering or welding or for hot spraying of metals metal carbides or cermets n.e.s.
851610,Electric instantaneous or storage water heaters and immersion heaters
85161011,Electric instantaneous water heaters
85161080,Electric water heaters and immersion heaters (excl. instantaneous water heaters)
85162100,Electric storage heating radiators for space-heating
851629,Electric space-heating and soil-heating apparatus (excl. storage heating radiators)
85162910,Liquid filled electric radiators for space-heating and soil-heating
85162950,Electric convection heaters for space-heating and soil-heating
85162991,Electric space-heating and soil-heating apparatus with built-in fan (excl. storage heating radiators)
85162999,Electric space-heating and soil-heating apparatus without built-in fan (excl. convection heaters and liquid-filled radiators)
85163100,Electric hairdryers
85163200,Electro-thermic hairdressing apparatus (excl. hairdryers)
85163300,Electric hand-drying apparatus
85164000,Electric smoothing irons
85165000,Microwave ovens
851660,Electric ovens cookers cooking plates and boiling rings electric grillers and roasters for domestic use (excl. space-heating stoves and microwave ovens)
851679,Electro-thermic appliances for domestic use (excl. hairdressing appliances and hand dryers space-heating and soil-heating apparatus water heaters immersion heaters smoothing irons microwave ovens ovens cookers cooking plates boiling rings grillers roasters coffee makers tea makers and toasters)
851680,Electric heating resistors (excl. those of agglomerated coal and graphite)
851769,Apparatus for the transmission or reception of voice images or other data incl. apparatus for communication in a wired or wireless network [such as a local or wide area network] (excl. telephone sets telephones for cellular networks or for other wireless networks base stations apparatus for the reception conversion and transmission or regeneration of voice images or other data and transmission or reception apparatus of heading 8443 8525 8527 or 8528)
851920,Sound recording or sound reproducing apparatus operated by coins banknotes bank cards tokens or by other means of payment [juke boxes]
852110,Magnetic tape-type video recording or reproducing apparatus whether or not incorporating a video tuner (excl. video camera recorders)
852329,Magnetic media for the recording of sound or of other phenomena (excl. cards incorporating a magnetic stripe and goods of chapter 37)
852341,Optical media for the recording of sound or of other phenomena unrecorded (excl. goods of chapter 37)
852349,Optical media for the recording of sound or of other phenomena (excl. unrecorded and goods of chapter 37)
852351,Solid-state non-volatile data storage devices for recording data from an external source [flash memory cards or flash electronic storage cards] (excl. goods of chapter 37)
852359,Semiconductor media unrecorded for the recording of sound or of other phenomena (excl. solid-state non-volatile data storage devices smart cards and goods of chapter 37)
852380,Media for the recording of sound or of other phenomena whether or not recorded incl. matrices and masters for the production of discs (excl. magnetic optical and semiconductor media and products of chapter 37)
852580,Television cameras digital cameras and video camera recorders
852691,Radio navigational aid apparatus
852721,Radio-broadcast receivers not capable of operating without an external source of power of a kind used in motor vehicles combined with sound recording or reproducing apparatus
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing machine of heading 8471 (excl. CRT with TV receiver)
852869,Projectors (excl. with TV receiver designed for computer use)
852871,Reception apparatus for television whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus not designed to incorporate a video display or screen
852872,Reception apparatus for television colour whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus designed to incorporate a video display or screen
852910,Aerials and aerial reflectors of all kinds; parts suitable for use therewith n.e.s.
852990,Parts suitable for use solely or principally with transmission and reception apparatus for radio-broadcasting or television television camerasdigital cameras video camera recorders radar apparatus radio navigational aid apparatus or radio remote control apparatus monitors and projectors n.e.s. (excl. for aerials and aerial reflectors of all kinds)
853110,Burglar or fire alarms and similar apparatus
853120,"Indicator panels with liquid crystal devices ""LCD"" or light emitting diodes ""LED"" (excl. those for cycles motor vehicles and traffic signalling)"
853180,Electric sound or visual signalling apparatus (excl. indicator panels with liquid crystal devices or light emitting diodes burglar or fire alarms and similar apparatus and apparatus for cycles motor vehicles and traffic signalling)
853340,Electrical variable resistors incl. rheostats and potentiometers (excl. wirewound variable resistors and heating resistors)
853400,Printed circuits
853530,Isolating switches and make-and-break switches for a voltage > 1.000 V
853610,Fuses for a voltage <= 1.000 V ...
853620,Automatic circuit breakers for a voltage <= 1.000 V ...
853630,Apparatus for protecting electrical circuits for a voltage <= 1.000 V (excl. fuses and automatic circuit breakers) ...
853641,Relays for a voltage <= 60 V ...
853650,Switches for a voltage <= 1.000 V (excl. relays and automatic circuit breakers) ...
853661,Lamp holders for a voltage <= 1.000 V ...
853669,Plugs and sockets for a voltage <= 1.000 V (excl. lamp holders) ...
853690,Electrical apparatus for switching electrical circuits or for making connections to or in electrical circuits for a voltage <= 1.000 V (excl. fuses automatic circuit breakers and other apparatus for protecting electrical circuits relays and other switches lamp holders plugs and sockets) ...
853710,Boards cabinets and similar combinations of apparatus for electric control or the distribution of electricity for a voltage <= 1.000 V ...
853720,Boards cabinets and similar combinations of apparatus for electric control or the distribution of electricity for a voltage > 1.000 V
853890,Parts suitable for use solely or principally with the apparatus of heading 8535 8536 or 8537 n.e.s. (excl. boards panels consoles desks cabinets and other bases for the goods of heading 8537 not equipped with their apparatus)
853921,Tungsten halogen filament lamps (excl. sealed beam lamp units)
853922,Filament lamps of a power <= 200 W and for a voltage > 100 V (excl. tungsten halogen filament lamps and ultraviolet or infra-red lamps)
853929,Filament lamps electric (excl. tungsten halogen lamps lamps of a power <= 200 W and for a voltage > 100 V and ultraiolet or infra-red lamps)
853931,Discharge lamps fluorescent hot cathode
853932,Mercury or sodium vapour lamps; metal halide lamps
853939,Discharge lamps (excl. hot-cathode fluorescent lamps mercury or sodium vapour lamps metal halide lamps and ultraviolet lamps)
853990,Parts of electric filament or discharge lamps sealed beam lamp units ultraviolet or infra-red lamps arc lamps and LED lamps n.e.s.
854020,Television camera tubes; image converters and intensifiers; other photo cathode tubes (excl. cathode ray television picture tubes incl. video monitor cathode ray tubes)
854140,Photosensitive semiconductor devices incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)
854231,Electronic integrated circuits as processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits
854232,Electronic integrated circuits as memories
854233,Electronic integrated circuits as amplifiers
854239,Electronic integrated circuits (excl. such as processors controllers memories and amplifiers)
854330,Machines and apparatus for electroplating electrolysis or electrophoresis
854370,Electrical machines and apparatus having individual functions n.e.s. in chapter 85
854411,Winding wire for electrical purposes of copper insulated
854442,Electric conductors for a voltage <= 1.000 V insulated fitted with connectors n.e.s. ...
854449,Electric conductors for a voltage <= 1.000 V insulated not fitted with connectors n.e.s. ...
854460,Electric conductors for a voltage > 1.000 V insulated n.e.s.
